,judgeId,judgeType,userId,problemId,submissionDate,language,status,cpuTime,memory,codeSize,accuracy,judgeDate,score,problemTitle,token
0,5533251,1,mentai8810graund,ITP1_1_B,1622890207553,C++,1,0,3108,94,0/4,1622890207936,0,,
1,5533264,1,mentai8810graund,ITP1_1_B,1622890495659,C++,0,0,0,87,0/4,1622890495873,0,,
2,5533265,1,mentai8810graund,ITP1_1_B,1622890505573,C++,0,0,0,97,0/4,1622890505943,0,,
3,5533266,1,mentai8810graund,ITP1_1_B,1622890522032,C++,0,0,0,92,0/4,1622890522285,0,,
4,5533267,1,mentai8810graund,ITP1_1_B,1622890552722,C++,0,0,0,100,0/4,1622890552846,0,,
5,6159071,1,mentai8810graund,ITP1_1_A,1640607620578,C++,0,0,0,88,0/1,1640607620797,0,,
6,6159074,1,mentai8810graund,ITP1_1_A,1640607666463,C++,4,0,3072,103,1/1,1640607666705,100,,
7,6159083,1,mentai8810graund,ITP1_1_B,1640607773703,C++,4,0,3068,107,4/4,1640607773992,100,,
8,6159095,1,mentai8810graund,ITP1_1_C,1640607865691,C++,4,0,3036,132,2/2,1640607865955,100,,
9,6159105,1,mentai8810graund,ITP1_1_D,1640608154365,C++,1,0,3056,200,0/10,1640608154584,0,,
10,6159117,1,mentai8810graund,ITP1_1_D,1640608452893,Ruby,1,5,6840,69,0/10,1640608453235,0,,
11,6159124,1,mentai8810graund,ITP1_1_D,1640608589435,Ruby,4,4,8876,83,10/10,1640608590262,100,,
12,6159142,1,mentai8810graund,ITP1_1_D,1640609013434,C++,0,0,0,238,0/10,1640609013649,0,,
13,6159144,1,mentai8810graund,ITP1_1_D,1640609037487,C++11,0,0,0,238,0/10,1640609037693,0,,
14,6159169,1,mentai8810graund,ITP1_1_D,1640609436202,C++,0,0,0,271,0/10,1640609436414,0,,
15,6159170,1,mentai8810graund,ITP1_1_D,1640609452088,C++11,1,0,3264,271,0/10,1640609452298,0,,
