,id,epoch_second,problem_id,contest_id,user_id,language,point,length,result,execution_time
0,21048667,1616214586,APG4b_a,APG4b,aozorarb,Ruby (2.7.1),0.0,105,RE,58.0
1,21048676,1616214603,APG4b_a,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,105,AC,10.0
2,21051352,1616222042,APG4b_cv,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,125,WA,6.0
3,21051370,1616222095,APG4b_cv,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,132,AC,10.0
4,21051577,1616222561,APG4b_cu,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,133,CE,
5,21051596,1616222605,APG4b_cu,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,136,AC,5.0
6,21051696,1616222848,APG4b_ct,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,93,CE,
7,21051705,1616222880,APG4b_ct,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,106,CE,
8,21051776,1616223087,APG4b_ct,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,113,AC,10.0
9,21051883,1616223365,APG4b_cs,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,312,AC,6.0
10,21052015,1616223659,APG4b_cr,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,122,WA,7.0
11,21052057,1616223734,APG4b_cr,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,123,WA,4.0
12,21052087,1616223822,APG4b_cr,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,125,AC,7.0
13,21052140,1616223942,abc084_a,abc084,aozorarb,Ruby (2.7.1),0.0,16,RE,65.0
14,21052151,1616223977,abc084_a,abc084,aozorarb,Ruby (2.7.1),0.0,17,RE,64.0
15,21052197,1616224059,abc084_a,abc084,aozorarb,Ruby (2.7.1),0.0,27,RE,57.0
16,21052285,1616224240,abc084_a,abc084,aozorarb,C (GCC 9.2.1),0.0,47,CE,
17,21052302,1616224261,abc084_a,abc084,aozorarb,C (GCC 9.2.1),0.0,64,CE,
18,21052316,1616224296,abc084_a,abc084,aozorarb,C (GCC 9.2.1),0.0,63,CE,
19,21052334,1616224333,abc084_a,abc084,aozorarb,C (GCC 9.2.1),0.0,65,CE,
20,21052426,1616224594,abc084_a,abc084,aozorarb,Ruby (2.7.1),0.0,26,RE,65.0
21,21052444,1616224657,abc084_a,abc084,aozorarb,Ruby (2.7.1),0.0,26,RE,64.0
22,21052544,1616224862,abc084_a,abc084,aozorarb,C++ (GCC 9.2.1),0.0,86,CE,
23,21052551,1616224871,abc084_a,abc084,aozorarb,C++ (GCC 9.2.1),0.0,90,CE,
24,21052562,1616224902,abc084_a,abc084,aozorarb,C++ (GCC 9.2.1),0.0,92,CE,
25,21052585,1616224961,abc084_a,abc084,aozorarb,C++ (GCC 9.2.1),0.0,97,CE,
26,21052603,1616224993,abc084_a,abc084,aozorarb,C++ (GCC 9.2.1),100.0,107,AC,6.0
27,21052923,1616225685,abc076_a,abc076,aozorarb,C++ (GCC 9.2.1),0.0,195,CE,
28,21052929,1616225697,abc076_a,abc076,aozorarb,C++ (GCC 9.2.1),0.0,196,CE,
29,21058876,1616240022,abc001_1,abc001,aozorarb,Ruby (2.7.1),0.0,34,RE,61.0
30,21058960,1616240145,abc001_1,abc001,aozorarb,Ruby (2.7.1),0.0,34,RE,66.0
31,21059156,1616240467,abc001_1,abc001,aozorarb,Ruby (2.7.1),0.0,44,WA,64.0
32,21059171,1616240500,abc001_1,abc001,aozorarb,Ruby (2.7.1),100.0,44,AC,68.0
33,21059686,1616241322,abc001_2,abc001,aozorarb,Ruby (2.7.1),0.0,336,RE,64.0
34,21059717,1616241376,abc001_2,abc001,aozorarb,Ruby (2.7.1),0.0,346,RE,66.0
35,21059752,1616241426,abc001_2,abc001,aozorarb,Ruby (2.7.1),0.0,348,RE,63.0
36,21059795,1616241524,abc001_2,abc001,aozorarb,Ruby (2.7.1),0.0,315,RE,66.0
37,21064837,1616241767,abc001_2,abc001,aozorarb,Ruby (2.7.1),0.0,318,RE,67.0
38,21070041,1616241950,abc001_2,abc001,aozorarb,Ruby (2.7.1),0.0,16,WA,67.0
39,21070200,1616241957,abc001_2,abc001,aozorarb,Ruby (2.7.1),0.0,13,WA,65.0
40,21074273,1616242223,abc001_2,abc001,aozorarb,Ruby (2.7.1),0.0,64,WA,63.0
41,21141162,1616327086,arc115_a,arc115,aozorarb,Ruby (2.7.1),0.0,61,RE,68.0
42,21144104,1616328508,past202010_a,past202010-open,aozorarb,Ruby (2.7.1),0.0,53,WA,62.0
43,21144683,1616328818,past202010_a,past202010-open,aozorarb,Ruby (2.7.1),0.0,87,WA,59.0
44,21144783,1616328879,past202010_a,past202010-open,aozorarb,Ruby (2.7.1),0.0,95,WA,62.0
45,21145599,1616329342,past202010_a,past202010-open,aozorarb,Ruby (2.7.1),0.0,211,WA,63.0
46,21146542,1616329898,past202010_a,past202010-open,aozorarb,Ruby (2.7.1),0.0,229,RE,69.0
47,21146659,1616329958,past202010_a,past202010-open,aozorarb,Ruby (2.7.1),0.0,248,RE,63.0
48,21146766,1616330019,past202010_a,past202010-open,aozorarb,Ruby (2.7.1),0.0,228,RE,64.0
49,21146892,1616330102,past202010_a,past202010-open,aozorarb,Ruby (2.7.1),0.0,232,RE,62.0
50,21147021,1616330165,past202010_a,past202010-open,aozorarb,Python (3.8.2),9.0,203,AC,26.0
51,21156150,1616342569,past202010_b,past202010-open,aozorarb,Ruby (2.7.1),0.0,98,RE,72.0
52,21156177,1616342666,past202010_b,past202010-open,aozorarb,Ruby (2.7.1),0.0,81,RE,67.0
53,21156239,1616342869,past202010_a,past202010-open,aozorarb,Ruby (2.7.1),0.0,102,RE,66.0
54,21156245,1616342892,past202010_b,past202010-open,aozorarb,Ruby (2.7.1),0.0,100,RE,67.0
55,21156329,1616343170,past202010_b,past202010-open,aozorarb,Ruby (2.7.1),0.0,113,WA,62.0
56,21156365,1616343354,past202010_b,past202010-open,aozorarb,Ruby (2.7.1),0.0,113,WA,70.0
57,21156520,1616343819,past202010_b,past202010-open,aozorarb,Ruby (2.7.1),0.0,113,WA,66.0
58,21177284,1616418868,abc086_a,abc086,aozorarb,Ruby (2.7.1),0.0,131,RE,64.0
59,21177327,1616418933,abc086_a,abc086,aozorarb,Ruby (2.7.1),0.0,124,RE,64.0
60,21177373,1616419009,abc086_a,abc086,aozorarb,Ruby (2.7.1),0.0,126,RE,63.0
61,21177432,1616419106,abc086_a,abc086,aozorarb,Ruby (2.7.1),100.0,123,AC,63.0
62,21177522,1616419249,abc086_a,abc086,aozorarb,Ruby (2.7.1),100.0,130,AC,61.0
63,21181168,1616426028,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,139,RE,66.0
64,21181351,1616426375,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,137,WA,63.0
65,21181470,1616426694,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,179,WA,91.0
66,21181489,1616426745,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,175,WA,91.0
67,21181677,1616427201,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,181,RE,63.0
68,21181721,1616427296,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,155,WA,91.0
